Id,Label,timeset,cip_category,total_deflated_dollar_2010,citations,y_05,cd,pageranks
1,,,Biology,NA,5782,2000,1,0.000173
678,,,Biology,NA,553,2005,1,0.000173
1766,,,Biology,5314932,2607,1990,1,0.000173
2467,,,Biology,NA,10172,1975,1,0.000533
1316,,,Medical,43062387,4410,1990,1,0.000173
833,,,Biology,NA,5502,1990,1,0.000738
1606,,,Medical,NA,1217,2000,1,0.000173
476,,,Medical,NA,8556,1985,1,0.00044
1354,,,Biology,NA,7930,1995,1,0.000173
2407,,,Medical,NA,7130,1995,1,0.000173
1892,,,Medical,NA,14619,1995,1,0.000173
2169,,,Biology,NA,1847,2000,0,0.000173
250,,,Biology,NA,887,2005,0,0.000173
479,,,Biology,10971275,19478,1985,1,0.000532
1225,,,Biology,NA,5530,2000,1,0.000173
368,,,Biology,NA,907,2005,1,0.000173
1321,,,Biology,NA,1306,1985,1,0.000173
2,,,Biology,NA,3967,2000,1,0.000798
1503,,,Biology,4153492,2168,1980,1,0.000173
2028,,,Biology,NA,4222,1985,1,0.000173
1746,,,Medical,NA,1369,2005,1,0.000173
2173,,,Medical,103588693,15891,1985,1,0.000798
3,,,Biology,NA,1478,2000,1,0.000173
1836,,,Biology,NA,9604,1985,1,0.000173
1014,,,Biology,13035877,253,2010,0,0.000173
1267,,,Biology,NA,3058,2000,1,0.000173
937,,,Biology,246346,1627,1970,1,0.000173
2055,,,Medical,NA,4549,1995,1,0.000173
4,,,Biology,NA,1254,2005,1,0.000173
1957,,,Medical,NA,4575,1995,1,0.000173
2409,,,Biology,NA,13106,1985,1,0.000173
769,,,Biology,NA,736,2005,0,0.000173
589,,,Biology,NA,17525,1980,1,0.000173
5,,,Medical,NA,3245,2000,1,0.000173
279,,,Medical,NA,1642,2005,1,0.000173
911,,,Medical,NA,15066,1985,1,0.000173
61,,,Biology,NA,1476,2005,1,0.000173
2115,,,Biology,5458160,7844,1990,1,0.000173
918,,,Medical,NA,4619,1990,1,0.000533
2466,,,Biology,7312022,7687,1980,1,0.000173
1393,,,Biology,NA,3779,1995,1,0.000173
2259,,,Biology,3649001,15909,1995,1,0.000173
2501,,,Biology,NA,15804,1995,1,0.001082
263,,,Medical,NA,2672,2005,1,0.000173
2161,,,Biology,NA,11942,1990,1,0.000173
211,,,Biology,NA,8418,1980,1,0.000173
2272,,,Biology,NA,14547,1985,1,0.000173
826,,,Medical,NA,3195,1995,1,0.000173
381,,,Medical,NA,4615,1995,1,0.000173
933,,,Biology,NA,5310,1995,1,0.000173
6,,,Biology,NA,669,2000,1,0.000173
1854,,,Biology,NA,10516,1995,1,0.000767
633,,,Biology,1448209,36313,1985,1,0.000767
1741,,,Biology,NA,10418,1985,1,0.000173
1410,,,Biology,NA,1312,2000,1,0.000173
2096,,,Biology,NA,6451,1990,1,0.000602
944,,,Biology,NA,10458,1995,1,0.000453
276,,,Medical,NA,3649,2000,1,0.000533
1256,,,Medical,NA,1034,2000,1,0.000173
865,,,Medical,NA,6918,1980,1,0.000173
2342,,,Biology,NA,2247,2000,1,0.000173
1562,,,Biology,NA,4491,1995,1,0.000602
31,,,Biology,NA,1423,2005,1,0.000602
29,,,Biology,NA,2695,2005,0,0.000173
1323,,,Biology,NA,2695,2000,1,0.000551
7,,,Biology,NA,2421,2005,1,0.000173
1627,,,Biology,4695193,10251,1995,1,0.000173
608,,,Medical,NA,11454,1980,1,0.000173
2177,,,Biology,13628,12941,1985,1,0.000173
8,,,Biology,NA,757,2005,0,0.000173
210,,,Biology,NA,4198,2005,1,0.000173
9,,,Biology,NA,4920,2000,1,0.000173
1082,,,Biology,NA,870,2005,1,0.000173
1536,,,Biology,6403031,16704,2000,1,0.000721
1332,,,Biology,NA,6893,1995,1,0.001104
88,,,Biology,NA,2620,1990,1,0.000721
2058,,,Biology,17755615,7662,1985,1,0.000721
347,,,Biology,NA,2669,2005,1,0.00044
48,,,Biology,NA,1597,2005,1,0.00044
303,,,Biology,NA,31825,2005,1,0.000986
336,,,Biology,NA,1551,2005,1,0.000173
1317,,,Medical,NA,5960,2000,1,0.000173
554,,,Biology,NA,2537,2005,1,0.000173
429,,,Biology,NA,2318,2005,1,0.000173
815,,,Biology,2390012,572,2010,1,0.000173
2774,,,Biology,NA,1992,2005,1,0.000173
985,,,Biology,NA,8458,1985,1,0.000453
221,,,Medical,NA,3740,1995,1,0.000173
2693,,,Biology,NA,5905,2000,1,0.000551
1713,,,Biology,NA,13564,1990,1,0.001006
553,,,Biology,65358,6839,2005,1,0.000173
2160,,,Medical,NA,3750,2000,1,0.000173
22,,,Biology,NA,2120,2005,1,0.000173
2256,,,Biology,NA,13598,1990,1,0.000173
1785,,,Biology,NA,11253,1990,1,0.000738
183,,,Biology,NA,2779,2005,1,0.000721
434,,,Biology,NA,506,2005,1,0.000173
914,,,Biology,NA,293,2010,1,0.000173
1165,,,Biology,NA,6304,2000,1,0.000173
1099,,,Biology,NA,8881,1990,1,0.000457
1425,,,Biology,NA,6545,2000,1,0.000173
2105,,,Medical,NA,17736,1985,1,0.000457
2372,,,Biology,1293454,18922,1965,1,0.000632
535,,,Biology,NA,1258,2005,1,0.000173
2455,,,Biology,NA,7106,1990,1,0.000173
1353,,,Biology,NA,4195,1985,1,0.000173
10,,,Medical,NA,1114,2005,0,0.000173
1985,,,Medical,NA,6879,1985,1,0.000173
11,,,Biology,NA,5313,1995,1,0.000173
1473,,,Biology,531098,32541,2000,1,0.000173
2073,,,Biology,5631656,11369,1985,1,0.000173
2710,,,Biology,NA,5042,2000,1,0.000173
2279,,,Medical,NA,16323,1980,1,0.000173
1364,,,Medical,NA,3805,1995,1,0.000173
2192,,,Biology,NA,5775,1985,1,0.000173
2267,,,Biology,NA,3186,1995,1,0.000173
2717,,,Biology,NA,3056,1995,1,0.000173
2309,,,Medical,NA,22836,1990,1,0.000173
180,,,Biology,1510589,1831,2005,1,0.000173
12,,,Biology,NA,3371,2005,1,0.000173
549,,,Biology,11549739,27797,1995,1,0.000721
2234,,,Biology,NA,8454,1990,1,0.000453
2703,,,Biology,NA,3327,2005,1,0.000173
1752,,,Biology,NA,4213,2000,1,0.000453
205,,,Biology,14189247,43787,1990,1,0.001271
1914,,,Medical,NA,2075,1995,1,0.000173
1747,,,Biology,NA,3421,1995,1,0.000173
796,,,Biology,NA,1877,2010,1,0.000721
2719,,,Biology,NA,5435,2000,1,0.000721
1315,,,Biology,NA,1974,1990,1,0.000173
2380,,,Biology,NA,11744,2000,1,0.000721
172,,,Biology,NA,5724,2005,1,0.000453
2502,,,Biology,521980,9412,1995,1,0.000173
1131,,,Biology,NA,5647,1990,1,0.000173
836,,,Biology,NA,7541,1975,1,0.000173
1454,,,Biology,NA,1293,1995,0,0.000173
2344,,,Biology,NA,2639,1985,1,0.000173
13,,,Biology,NA,986,2005,1,0.000173
1714,,,Biology,NA,1176,2000,1,0.000173
123,,,Biology,NA,988,2005,1,0.000173
1183,,,Biology,NA,815,2000,0,0.000173
1481,,,Biology,NA,3489,1990,1,0.000173
1637,,,Medical,NA,3643,1990,1,0.000173
841,,,Biology,NA,18225,1985,1,0.000632
25,,,Biology,NA,1039,2005,1,0.000173
1064,,,Medical,NA,27005,1975,1,0.000173
14,,,Biology,NA,3151,1995,1,0.000173
819,,,Medical,NA,162,2010,1,0.000173
667,,,Biology,NA,704,2010,1,0.000173
1279,,,Biology,NA,3588,1995,1,0.000173
2128,,,Biology,1038411,11700,1980,1,0.000173
799,,,Medical,NA,817,2010,1,0.000173
228,,,Biology,NA,1979,2005,1,0.000173
1127,,,Biology,NA,3397,2005,1,0.000173
2329,,,Biology,NA,23496,1965,1,0.000173
967,,,Medical,NA,1228,1990,1,0.000173
2166,,,Biology,NA,9467,1980,1,0.000173
50,,,Biology,NA,1977,2000,1,0.000173
1955,,,Biology,NA,3843,1975,1,0.000173
15,,,Biology,NA,2605,1990,1,0.000173
1116,,,Biology,NA,6477,1985,0,0.000173
1495,,,Biology,NA,2908,2000,1,0.000173
1638,,,Medical,NA,6980,1995,1,0.00044
524,,,Biology,NA,2189,2005,1,0.000173
1062,,,Biology,NA,45702,1975,1,0.001299
2418,,,Biology,NA,32161,1980,1,0.000173
1760,,,Medical,NA,6291,1995,1,0.000173
1735,,,Biology,NA,3036,1985,1,0.000173
317,,,Biology,NA,1582,2000,1,0.000173
16,,,Technology,NA,2729,2000,1,0.000486
2506,,,Biology,NA,31876,1970,1,0.013999
17,,,Biology,NA,1810,2000,0,0.000173
2721,,,Biology,NA,5089,2000,1,0.000173
43,,,Biology,NA,2573,2005,1,0.000173
226,,,Biology,NA,2569,2000,0,0.000173
201,,,Biology,NA,1441,2005,1,0.000173
2217,,,Biology,NA,7960,1995,1,0.000173
475,,,Biology,NA,16975,1995,1,0.000173
2075,,,Biology,NA,13786,1990,1,0.000602
131,,,Biology,NA,1703,2005,1,0.000173
18,,,Biology,NA,953,2005,1,0.000173
435,,,Biology,NA,28780,1990,1,0.000173
896,,,Biology,NA,69011,1975,1,0.000551
576,,,Biology,NA,71449,1990,1,0.000721
78,,,Medical,NA,2529,2005,1,0.000173
1309,,,Biology,1862080,7729,2000,1,0.000551
2374,,,Medical,NA,33299,1985,1,0.000602
74,,,Medical,7056901,5392,2005,1,0.000173
19,,,Biology,NA,1752,2005,1,0.000173
1762,,,Biology,NA,6917,1995,1,0.000173
2780,,,Biology,NA,610,2005,0,0.000173
2706,,,Biology,NA,3895,2000,1,0.000453
776,,,Biology,NA,222,2010,0,0.000173
820,,,Medical,NA,1132,2010,1,0.000173
325,,,Biology,NA,1822,2005,1,0.000457
1843,,,Biology,NA,2231,1995,1,0.000173
1970,,,Biology,NA,12659,1985,1,0.000173
214,,,Medical,3924401,16696,1975,1,0.000173
73,,,Biology,3428606,6299,1990,1,0.000173
2524,,,Biology,NA,3586,1985,1,0.000173
2661,,,Medical,NA,17924,1985,1,0.000173
1990,,,Biology,NA,8850,1990,1,0.000173
126,,,Biology,NA,3308,2000,1,0.000173
338,,,Medical,43062387,8875,2005,1,0.000173
1647,,,Medical,23174699,17858,1995,1,0.001038
1951,,,Technology,NA,24737,1995,1,0.000173
1613,,,Medical,NA,3997,1995,1,0.000173
1258,,,Medical,NA,3789,1995,1,0.000173
1259,,,Medical,NA,1599,1995,1,0.000173
1907,,,Medical,NA,20703,1980,1,0.000173
1815,,,Medical,37946519,14475,1980,1,0.000173
2637,,,Biology,NA,6366,1995,1,0.000173
1240,,,Biology,NA,981,2000,1,0.000173
2716,,,Biology,1741515,3129,1995,0,0.000173
1046,,,Medical,NA,8365,2000,1,0.000173
20,,,Medical,NA,1512,2000,1,0.000173
2573,,,Medical,NA,10453,1985,1,0.000533
2288,,,Medical,NA,1496,1995,1,0.000173
1263,,,Medical,NA,3654,1995,1,0.000173
2151,,,Biology,3884592,16163,1985,1,0.000173
2462,,,Biology,NA,11865,1965,1,0.000494
2207,,,Medical,NA,4338,1970,1,0.000173
2136,,,Medical,NA,15788,1980,1,0.000173
21,,,Biology,NA,1390,2000,0,0.000173
1665,,,Biology,NA,1496,1990,1,0.000671
1331,,,Biology,NA,2136,1995,1,0.000173
1514,,,Biology,NA,5228,1990,1,0.000173
42,,,Biology,NA,1341,2005,0,0.000173
2704,,,Biology,NA,2765,1995,1,0.000173
1153,,,Biology,NA,457,2000,0,0.000173
1450,,,Biology,NA,1720,2000,1,0.000173
23,,,Medical,NA,3561,1995,1,0.000173
2195,,,Medical,NA,11495,1985,1,0.000173
1673,,,Biology,NA,23733,1985,1,0.0006
2212,,,Medical,NA,8272,1970,1,0.000173
1917,,,Biology,NA,10448,1985,1,0.0006
588,,,Medical,NA,17742,1980,1,0.000173
2476,,,Biology,NA,2390,1995,1,0.000173
24,,,Biology,NA,9351,1995,1,0.000173
1931,,,Biology,NA,13391,2000,1,0.000173
573,,,Biology,NA,35308,1970,1,0.000173
373,,,Biology,NA,2039,2005,1,0.000173
416,,,Biology,NA,996,2000,1,0.000173
1717,,,Biology,NA,9578,1990,1,0.000173
1844,,,Biology,NA,8315,1980,0,0.000173
