Id,Label,timeset,dept_rank,cip_category,total_deflated_dollar_2010,citations,y_05,cd,pageranks
1,,,81,Biology,NA,3178,2000,0,0.000497
2,,,NA,Biology,NA,1619,2005,0,0.00013
3,,,NA,Biology,NA,2684,2005,1,0.00013
4,,,NA,Biology,NA,3781,1985,1,0.000409
5,,,NA,Biology,262734,6936,1985,1,0.00013
6,,,26,Biology,NA,5490,2000,1,0.000409
7,,,3,Medical,NA,5336,2005,1,0.00013
8,,,45,Biology,17703,3825,2005,1,0.00013
9,,,67,Biology,NA,1206,1990,1,0.00013
10,,,NA,Medical,NA,1629,2000,1,0.000707
11,,,52,Medical,NA,1112,2000,1,0.00013
12,,,NA,Medical,NA,2779,1985,1,0.00013
13,,,NA,Biology,NA,3572,1995,1,0.00013
14,,,NA,Biology,NA,945,2000,1,0.00013
15,,,131,Biology,5451225,347,2005,0,0.00013
16,,,285,Biology,NA,1825,2005,1,0.00013
17,,,NA,Medical,NA,6408,1975,1,0.00013
18,,,9,Biology,NA,1871,2005,1,0.000337
19,,,NA,Biology,NA,968,2005,1,0.000473
20,,,26,Biology,NA,1029,2000,1,0.00013
21,,,38,Medical,NA,1320,2005,1,0.00013
22,,,NA,Biology,10174659,8740,2005,1,0.00013
23,,,NA,Medical,NA,5255,2000,1,0.00013
24,,,NA,Medical,NA,241,2005,1,0.00013
25,,,43,Medical,NA,1043,2005,1,0.00013
26,,,NA,Biology,NA,1630,2005,1,0.00013
27,,,9,Medical,NA,537,2000,1,0.00013
28,,,60,Medical,NA,3273,2000,1,0.00013
29,,,121,Biology,NA,973,1995,1,0.00013
30,,,140,Biology,NA,3588,2000,1,0.000377
31,,,190,Biology,NA,2855,2005,1,0.00013
32,,,13,Medical,10252529,7796,1995,1,0.00013
33,,,NA,Biology,NA,2160,2000,1,0.00013
34,,,27,Biology,NA,1880,2000,1,0.00013
35,,,85,Biology,NA,4793,2000,1,0.00013
36,,,NA,Medical,NA,1390,2005,1,0.00013
