"Id","cip_category","total_deflated_dollar_2010","citations","y_05","cd"
"1","Biology",NA,2521,"2000",1
"2","Biology",5623518,22511,"1980",1
"3","Biology",NA,687,"2005",0
"4","Technology",NA,4598,"2000",1
"5","Medical",NA,311,"2005",1
"6","Biology",NA,2521,"2000",1
"7","Medical",NA,2866,"1995",0
"8","Medical",NA,1613,"2000",0
"9","Medical",NA,1964,"2005",1
"10","Technology",NA,7518,"2000",1
"11","Medical",153126,4078,"1985",1
"12","Medical",NA,660,"2005",1
"13","Biology",NA,1382,"1995",1
"14","Biology",NA,1571,"1995",0
"15","Technology",NA,1032,"1995",1
"16","Biology",NA,5564,"2000",1
"17","Biology",NA,700,"2005",1
"18","Medical",NA,3107,"2000",1
"19","Technology",NA,3664,"1985",1
"20","Biology",NA,7110,"1990",1
"21","Medical",NA,1684,"2005",1
"22","Biology",NA,1373,"2005",1
"23","Medical",NA,3817,"2000",1
"24","Biology",NA,3180,"2000",1
"25","Biology",NA,2267,"2005",1
"26","Biology",NA,290,"2005",1
"27","Medical",NA,1622,"2000",1
"28","Biology",NA,1362,"2005",1
"29","Biology",NA,1598,"2005",1
"30","Biology",NA,629,"2005",0
"31","Medical",NA,175,"2000",0
"32","Biology",NA,942,"2005",1
"33","Medical",NA,2543,"1995",0
"34","Biology",855848,15709,"1990",1
"35","Biology",NA,761,"2000",1
"36","Biology",NA,644,"2000",0
"37","Medical",NA,2063,"2005",1
"38","Medical",NA,1865,"1995",1
"39","Medical",544588,9503,"1985",1
"40","Medical",NA,1793,"2005",0
"41","Technology",NA,3551,"2000",1
"42","Biology",NA,192,"2005",0
"43","Biology",NA,2502,"2005",1
"44","Medical",NA,2119,"2005",1
"45","Biology",NA,1315,"2005",1
"46","Medical",NA,1357,"2000",1
"47","Biology",NA,1982,"2005",1
"48","Biology",14741132,8272,"1985",1
"49","Medical",NA,2945,"1990",1
"50","Biology",NA,2136,"1995",1
"51","Biology",NA,1806,"1995",1
"52","Biology",117976,1394,"1985",1
"53","Medical",4270736,1148,"2000",1
"54","Biology",NA,1135,"2005",1
"55","Medical",1548580,9970,"1980",1
"56","Biology",NA,2357,"2005",1
"57","Medical",NA,949,"2005",1
"58","Medical",NA,639,"2005",1
"59","Medical",NA,8050,"1985",1
"60","Medical",NA,1111,"2005",1
"61","Medical",NA,1467,"1995",1
"62","Biology",NA,1476,"2010",1
"63","Medical",NA,254,"2000",1
"64","Biology",NA,2579,"1990",1
"65","Biology",1870465,16255,"2000",1
"66","Biology",NA,10757,"1990",0
"67","Biology",NA,11749,"2000",1
"68","Biology",NA,9279,"2000",1
"69","Medical",2019749,10519,"1990",1
"70","Medical",NA,117,"2000",1
"71","Medical",NA,662,"2000",0
"72","Technology",911635,861,"1985",1
"73","Biology",NA,2507,"1995",1
"74","Technology",NA,3611,"2000",1
"75","Biology",4523876,3155,"2000",1
"76","Biology",NA,1215,"2005",1
"77","Medical",NA,1268,"2005",1
"78","Biology",NA,934,"2005",1
"79","Biology",NA,2538,"1980",1
"80","Biology",804260,2557,"2005",1
"81","Technology",NA,2028,"1995",1
"82","Medical",NA,315,"2005",0
"83","Medical",NA,1339,"1990",0
"84","Medical",NA,1413,"1995",0
"85","Biology",2570353,4899,"2000",1
"86","Biology",NA,1236,"2000",1
"87","Medical",NA,3399,"1980",0
"88","Biology",NA,5159,"1990",1
"89","Medical",NA,4405,"2000",0
"90","Biology",NA,2387,"2005",1
"91","Biology",NA,4361,"2005",1
"92","Biology",NA,851,"2005",0
"93","Medical",NA,2622,"1990",1
"94","Biology",NA,13059,"1985",1
"95","Medical",NA,1918,"2005",1
"96","Medical",NA,1005,"1995",1
"97","Medical",NA,416,"2000",0
"98","Biology",NA,13233,"1985",1
"99","Medical",NA,31993,"1980",1
"100","Medical",NA,8958,"1985",1
"101","Biology",NA,7614,"1995",1
"102","Medical",NA,1730,"1995",1
"103","Medical",NA,6152,"1990",1
"104","Medical",NA,2409,"1990",1
"105","Biology",NA,463,"2005",0
"106","Biology",594412,6561,"1985",1
"107","Medical",NA,477,"2005",1
"108","Medical",NA,6515,"1995",1
"109","Medical",NA,4488,"2005",1
"110","Biology",NA,1492,"2005",1
"111","Biology",NA,1064,"2005",1
"112","Biology",NA,12886,"1980",1
"113","Biology",NA,990,"2000",1
"114","Biology",228004,1696,"2005",0
"115","Biology",NA,1575,"2000",1
"116","Biology",NA,867,"2005",0
"117","Biology",NA,736,"2005",1
"118","Medical",NA,996,"2000",1
"119","Technology",NA,895,"2000",1
"120","Biology",NA,1033,"2005",1
"121","Medical",NA,1396,"2005",1
"122","Biology",NA,2659,"2005",0
"123","Medical",NA,1508,"2000",1
"124","Medical",NA,915,"2000",1
"125","Medical",NA,9327,"1985",1
"126","Biology",NA,1349,"2000",1
"127","Medical",NA,12090,"2005",1
"128","Biology",NA,635,"2000",0
"129","Medical",NA,1456,"2005",1
"130","Biology",NA,1555,"2005",1
"131","Biology",9076591,10723,"1990",1
"132","Technology",NA,724,"2005",1
"133","Biology",NA,6896,"1985",1
"134","Biology",NA,411,"2005",0
"135","Technology",NA,737,"2005",1
"136","Medical",NA,1509,"2000",0
"137","Biology",NA,460,"2005",0
"138","Biology",NA,509,"2005",0
"139","Medical",NA,1234,"2005",1
"140","Medical",1541541,1855,"1995",1
"141","Medical",NA,7544,"1985",1
"142","Biology",NA,541,"2000",0
"143","Medical",NA,1055,"2000",1
"144","Medical",NA,3638,"2000",0
"145","Biology",NA,336,"2000",1
"146","Biology",192427,14607,"1980",1
"147","Biology",NA,1132,"2005",1
"148","Medical",4753224,678,"2005",1
"149","Medical",NA,1136,"2005",1
"150","Biology",NA,3237,"1980",1
"151","Biology",NA,3773,"1990",1
"152","Medical",NA,144,"2005",1
"153","Medical",NA,669,"2005",1
"154","Biology",NA,384,"2000",1
"155","Medical",NA,1887,"2005",1
"156","Biology",1617894,4982,"2000",1
"157","Medical",NA,385,"2000",1
"158","Medical",NA,448,"1990",0
"159","Medical",NA,1484,"2005",1
"160","Medical",NA,211,"2000",1
"161","Medical",NA,751,"2005",1
"162","Biology",NA,1404,"2005",1
"163","Biology",NA,2183,"2005",0
"164","Biology",NA,3929,"2000",1
"165","Medical",NA,4197,"2005",1
"166","Medical",956873,345,"2005",1
"167","Technology",NA,1394,"2005",0
"168","Medical",NA,6653,"1975",1
"169","Biology",NA,1826,"2005",1
"170","Biology",NA,902,"2005",1
"171","Medical",34986,6487,"1970",1
"172","Biology",NA,309,"2005",1
"173","Medical",NA,768,"2005",0
"174","Medical",NA,612,"2000",1
"175","Biology",NA,711,"2005",0
"176","Technology",NA,31404,"1980",1
"177","Biology",NA,1008,"2005",1
"178","Medical",NA,433,"2005",1
"179","Medical",NA,2298,"2000",1
"180","Medical",NA,6696,"1990",1
"181","Technology",NA,73,"2005",0
"182","Biology",NA,380,"2005",1
"183","Biology",NA,329,"2005",0
"184","Biology",13012481,6023,"1990",1
"185","Biology",2113677,2184,"2000",0
"186","Medical",NA,11167,"1985",1
"187","Medical",NA,8574,"1990",1
"188","Biology",NA,482,"2000",0
"189","Biology",2409866,8729,"1980",1
"190","Biology",NA,1944,"2000",0
"191","Medical",NA,12715,"1985",1
"192","Medical",NA,294,"2005",0
"193","Biology",NA,1867,"1995",1
"194","Medical",NA,350,"2005",1
"195","Biology",5786471,4852,"1980",1
"196","Medical",NA,791,"2000",0
"197","Technology",NA,3729,"1990",1
"198","Biology",NA,14775,"1995",1
"199","Medical",NA,2283,"1985",1
"200","Medical",NA,6592,"1995",1
"201","Biology",NA,14552,"1995",1
"202","Biology",NA,15058,"1995",1
"203","Biology",19389432,8878,"1985",1
"204","Biology",861072,14451,"1980",1
"205","Biology",NA,10974,"1985",1
"206","Biology",184654,6174,"1995",1
"207","Medical",NA,7358,"1995",1
"208","Medical",NA,1797,"1990",1
"209","Medical",608585,876,"2000",0
"210","Medical",NA,3698,"1985",0
"211","Medical",NA,953,"2005",1
"212","Biology",NA,1088,"2005",1
"213","Biology",NA,428,"2005",1
"214","Medical",339615,29254,"1990",1
"215","Biology",NA,17592,"1990",1
"216","Biology",41985,9983,"1990",0
"217","Medical",211055,383,"2000",0
"218","Biology",10235703,55768,"1985",1
"219","Technology",NA,15,"2010",1
"220","Medical",1469296,50122,"1980",1
"221","Biology",828007,15761,"1980",1
"222","Biology",27972,375,"2005",1
"223","Biology",NA,9157,"1985",1
"224","Medical",NA,13941,"1970",1
"225","Medical",NA,4591,"1995",0
"226","Biology",NA,1417,"1995",1
"227","Biology",NA,3021,"1995",1
"228","Biology",9368547,14639,"1990",1
"229","Medical",3134813,685,"2005",1
"230","Biology",NA,311,"2005",0
"231","Medical",NA,12416,"2005",1
"232","Medical",NA,933,"2005",1
"233","Medical",NA,397,"2005",1
"234","Medical",NA,1130,"2005",1
"235","Medical",NA,323,"2005",1
"236","Technology",NA,1350,"2005",1
"237","Medical",NA,45,"2010",1
"238","Technology",33703490,19711,"1990",1
"239","Biology",NA,244,"2005",0
"240","Medical",NA,2041,"2005",1
"241","Medical",NA,717,"2005",0
"242","Biology",NA,706,"2005",0
"243","Biology",NA,674,"2005",1
"244","Medical",3980541,3448,"1985",1
"245","Technology",NA,2036,"1990",1
"246","Biology",NA,4420,"1990",1
"247","Biology",NA,1253,"2000",0
"248","Biology",NA,985,"2000",0
"249","Biology",NA,26049,"1970",1
"250","Medical",86532584,2309,"1990",1
"251","Medical",NA,374,"2005",0
"252","Medical",1932472,669,"2000",1
"253","Biology",9152164,11040,"1985",1
"254","Biology",NA,4297,"1995",1
"255","Biology",NA,2819,"2000",1
"256","Medical",NA,1806,"1985",0
"257","Medical",NA,585,"2005",1
"258","Medical",3847488,4321,"1985",1
"259","Medical",2292592,3324,"1995",1
"260","Biology",NA,3717,"1995",1
"261","Medical",NA,6010,"1995",1
"262","Medical",10531124,7796,"1980",1
"263","Medical",NA,1846,"2005",1
"264","Medical",NA,967,"2005",1
"265","Medical",217870,557,"2005",0
"266","Medical",NA,1506,"2000",1
"267","Biology",NA,4997,"2005",0
"268","Medical",NA,623,"2005",1
"269","Biology",NA,1362,"2000",1
"270","Biology",NA,727,"2005",1
"271","Biology",NA,1318,"1995",1
"272","Medical",NA,1613,"2000",1
"273","Technology",109684,350,"2005",1
"274","Medical",NA,6078,"1980",1
"275","Biology",NA,1938,"2005",1
"276","Medical",NA,1721,"2000",1
"277","Medical",NA,268,"2000",1
"278","Biology",NA,509,"2010",1
"279","Technology",NA,348,"2005",1
"280","Biology",210752,23029,"1975",1
"281","Medical",NA,7294,"1975",1
"282","Biology",NA,22058,"1980",1
"283","Medical",NA,6070,"1975",1
"284","Biology",NA,14200,"1980",1
"285","Medical",NA,820,"2010",1
"286","Medical",NA,805,"1990",1
"287","Biology",NA,48094,"1975",1
"288","Biology",NA,17474,"1985",1
"289","Biology",NA,2052,"1975",1
"290","Medical",4035640,17791,"1985",1
"291","Medical",NA,91623,"1975",1
"292","Medical",NA,4310,"1985",1
"293","Medical",8124338,34800,"1980",1
"294","Medical",NA,6939,"1990",1
"295","Medical",12128,1720,"1975",1
"296","Biology",NA,34478,"1970",1
"297","Biology",NA,2977,"1980",1
"298","Biology",NA,8386,"1980",1
"299","Biology",NA,2357,"2000",1
"300","Medical",NA,1137,"2000",0
"301","Biology",NA,10130,"1975",1
"302","Medical",NA,13937,"1975",1
"303","Biology",NA,4027,"1980",1
"304","Biology",NA,4372,"1995",1
"305","Biology",NA,1733,"2005",1
"306","Medical",NA,537,"2005",1
"307","Medical",NA,7761,"1975",1
"308","Medical",NA,13712,"1985",1
"309","Medical",6172692,14403,"1990",1
"310","Biology",NA,16684,"1975",1
"311","Medical",NA,1068,"2000",1
"312","Medical",NA,1284,"2000",1
"313","Medical",NA,9798,"1975",1
"314","Medical",NA,4105,"1985",1
"315","Medical",NA,2035,"1990",1
"316","Medical",NA,2606,"1985",1
"317","Biology",NA,4987,"1980",1
"318","Medical",NA,2524,"1975",1
"319","Biology",NA,6590,"1980",1
"320","Biology",NA,8600,"1980",1
"321","Medical",NA,17233,"1990",1
"322","Biology",NA,24500,"1975",1
"323","Medical",NA,2399,"1995",1
