"Id","cip_category","total_deflated_dollar_2010","citations","y_05","cd"
"1","Biology",NA,5782,"2000",1
"2","Biology",NA,3967,"2000",1
"3","Biology",NA,1478,"2000",1
"4","Biology",NA,1254,"2005",1
"5","Medical",NA,3245,"2000",1
"6","Biology",NA,669,"2000",1
"7","Biology",NA,2421,"2005",1
"8","Biology",NA,757,"2005",0
"9","Biology",NA,4920,"2000",1
"10","Medical",NA,1114,"2005",0
"11","Biology",NA,5313,"1995",1
"12","Biology",NA,3371,"2005",1
"13","Biology",NA,986,"2005",1
"14","Biology",NA,3151,"1995",1
"15","Biology",NA,2605,"1990",1
"16","Technology",NA,2729,"2000",1
"17","Biology",NA,1810,"2000",0
"18","Biology",NA,953,"2005",1
"19","Biology",NA,1752,"2005",1
"20","Medical",NA,1512,"2000",1
"21","Biology",NA,1390,"2000",0
"22","Biology",NA,2120,"2005",1
"23","Medical",NA,3561,"1995",1
"24","Biology",NA,9351,"1995",1
"25","Biology",NA,1039,"2005",1
"26","Biology",NA,1347,"2005",1
"27","Biology",NA,1199,"2005",1
"28","Biology",NA,1900,"2005",1
"29","Biology",NA,2695,"2005",0
"30","Biology",NA,1234,"2000",0
"31","Biology",NA,1423,"2005",1
"32","Biology",NA,3468,"2005",1
"33","Biology",NA,478,"2005",0
"34","Biology",NA,14688,"1980",1
"35","Medical",NA,2242,"2005",1
"36","Medical",NA,512,"2000",1
"37","Medical",2096850,2321,"2000",1
"38","Medical",NA,1674,"2000",1
"39","Biology",NA,2119,"2000",1
"40","Medical",NA,2243,"2005",1
"41","Medical",NA,3386,"2005",1
"42","Biology",NA,1341,"2005",0
"43","Biology",NA,2573,"2005",1
"44","Biology",NA,3300,"2000",1
"45","Biology",NA,5479,"2000",1
"46","Medical",NA,1575,"2000",1
"47","Biology",NA,1324,"2005",1
"48","Biology",NA,1597,"2005",1
"49","Biology",NA,1739,"2005",0
"50","Biology",NA,1977,"2000",1
"51","Biology",NA,4468,"2005",1
"52","Biology",NA,3451,"2000",0
"53","Biology",NA,1577,"1990",0
"54","Medical",247802,2601,"2005",1
"55","Biology",NA,14384,"1985",1
"56","Biology",NA,1449,"2005",1
"57","Biology",NA,3442,"2000",1
"58","Medical",NA,7694,"1980",1
"59","Biology",NA,2468,"2000",1
"60","Biology",NA,1734,"2005",1
"61","Biology",NA,1476,"2005",1
"62","Biology",NA,1312,"2000",0
"63","Biology",NA,963,"2005",1
"64","Biology",NA,897,"1995",1
"65","Biology",NA,3906,"2005",1
"66","Biology",NA,6501,"2000",1
"67","Biology",NA,868,"2000",1
"68","Biology",NA,783,"2000",1
"69","Biology",NA,1870,"1990",1
"70","Biology",NA,852,"2005",1
"71","Biology",NA,6170,"1975",1
"72","Biology",NA,1169,"1995",0
"73","Biology",3428606,6299,"1990",1
"74","Medical",7056901,5392,"2005",1
"75","Biology",394935,756,"2005",1
"76","Medical",NA,4500,"2005",1
"77","Biology",NA,4204,"1990",1
"78","Medical",NA,2529,"2005",1
"79","Medical",NA,1325,"2005",1
"80","Medical",NA,723,"2005",1
"81","Biology",NA,1103,"2005",0
"82","Biology",NA,1063,"2005",1
"83","Biology",NA,1550,"2000",1
"84","Biology",43633127,974,"2005",1
"85","Biology",NA,632,"2005",1
"86","Biology",NA,1920,"2000",0
"87","Biology",NA,1660,"2000",1
"88","Biology",NA,2620,"1990",1
"89","Technology",NA,10262,"1995",1
"90","Biology",NA,1183,"2000",1
"91","Biology",NA,609,"2005",1
"92","Biology",NA,1075,"2005",1
"93","Medical",NA,782,"2005",1
"94","Biology",NA,1432,"2005",0
"95","Biology",NA,3697,"2005",0
"96","Medical",NA,1808,"2005",1
"97","Medical",4117681,38204,"1980",1
"98","Biology",NA,1844,"2005",1
"99","Biology",NA,866,"2005",1
"100","Biology",NA,1892,"2000",1
"101","Medical",NA,647,"2005",1
"102","Biology",NA,2176,"2005",0
"103","Medical",NA,1268,"2005",1
"104","Biology",17863302,13932,"1980",0
"105","Medical",NA,3539,"2005",1
"106","Biology",NA,971,"2000",1
"107","Biology",NA,5423,"2005",1
"108","Biology",NA,531,"1985",1
"109","Biology",NA,2850,"2005",0
"110","Biology",1256789,697,"2000",0
"111","Biology",NA,397,"2005",0
"112","Biology",NA,840,"2005",0
"113","Medical",NA,4728,"2000",1
"114","Biology",NA,3923,"2005",1
"115","Biology",NA,1613,"2005",1
"116","Biology",NA,2235,"2000",1
"117","Biology",NA,1313,"2000",1
"118","Biology",NA,1840,"2005",0
"119","Biology",NA,2020,"2000",1
"120","Medical",NA,1548,"2000",0
"121","Biology",NA,4820,"2005",1
"122","Biology",NA,983,"2000",0
"123","Biology",NA,988,"2005",1
"124","Biology",NA,1009,"2005",1
"125","Biology",NA,1246,"2005",0
"126","Biology",NA,3308,"2000",1
"127","Biology",NA,4603,"1990",1
"128","Biology",NA,1157,"2000",1
"129","Biology",NA,1429,"2005",1
"130","Biology",NA,613,"2005",0
"131","Biology",NA,1703,"2005",1
"132","Biology",NA,884,"2000",1
"133","Biology",NA,4756,"2000",1
"134","Biology",NA,2435,"2000",1
"135","Biology",NA,566,"2005",1
"136","Biology",NA,925,"2005",0
"137","Medical",NA,826,"2005",1
"138","Medical",NA,684,"2010",1
"139","Biology",NA,6398,"1970",1
"140","Biology",NA,4599,"2000",1
"141","Biology",3233264,11391,"1975",1
"142","Biology",NA,988,"2005",1
"143","Biology",NA,501,"2005",0
"144","Biology",NA,1026,"2005",1
"145","Biology",NA,1371,"2005",1
"146","Biology",NA,1425,"2005",0
"147","Biology",NA,1124,"2005",1
"148","Biology",NA,513,"2005",1
"149","Biology",NA,962,"2005",1
"150","Biology",NA,1185,"2005",1
"151","Biology",NA,3257,"1995",1
"152","Biology",NA,2401,"2005",1
"153","Medical",NA,2694,"2005",1
"154","Biology",NA,652,"2005",1
"155","Biology",NA,2788,"2005",1
"156","Medical",NA,607,"2005",1
"157","Medical",NA,564,"2005",1
"158","Biology",704141,800,"2000",0
"159","Biology",NA,4198,"2005",0
"160","Biology",NA,1264,"1980",1
"161","Biology",NA,25534,"1980",1
"162","Medical",NA,910,"2005",1
"163","Medical",NA,1058,"2005",1
"164","Biology",NA,2014,"1985",0
