"Source","Target"
"1","3243"
"1","820"
"1","2087"
"1","1904"
"2","621"
"2","2437"
"3","3451"
"3","1688"
"3","2952"
"3","2858"
"3","617"
"3","1195"
"3","59"
"3","959"
"3","2667"
"3","2237"
"3","2337"
"3","1754"
"3","903"
"3","2943"
"4","1986"
"4","1414"
"4","247"
"4","2379"
"4","691"
"4","2891"
"4","138"
"4","1321"
"4","414"
"4","2418"
"4","1758"
"4","2287"
"4","2443"
"4","1998"
"4","2488"
"4","1286"
"4","1956"
"4","2718"
"5","1706"
"5","2830"
"5","1988"
"5","1241"
"5","1897"
"5","2074"
"5","2867"
"5","2102"
"5","2432"
"5","1453"
"6","994"
"6","2589"
"6","2514"
"6","723"
"6","138"
"6","3429"
"6","1321"
"6","2981"
"6","1725"
"6","884"
"6","3082"
"6","2687"
"6","159"
"6","2346"
"6","1471"
"7","2190"
"7","1843"
"7","2601"
"7","1521"
"7","2303"
"7","2092"
"7","1387"
"7","1851"
"7","1245"
"7","1159"
"7","209"
"7","2329"
"7","2363"
"7","2705"
"7","756"
"7","23"
"7","1670"
"7","2604"
"7","2649"
"7","208"
"7","2045"
"7","788"
"7","490"
"7","769"
"7","3282"
"7","3360"
"7","2543"
"8","1044"
"8","3284"
"8","3457"
"9","3008"
"9","1004"
"9","1777"
"9","2816"
"9","1754"
"9","1762"
"9","557"
"9","1642"
"9","1657"
"10","781"
"10","2759"
"10","116"
"10","3164"
"10","2357"
"10","2480"
"10","2565"
"10","2866"
"10","1667"
"11","2849"
"11","1055"
"11","611"
"11","2185"
"11","3154"
"11","1460"
"11","3228"
"11","2486"
"12","1036"
"12","2089"
"12","3267"
"12","719"
"12","2659"
"12","3011"
"12","1311"
"12","2872"
"12","1100"
"12","1143"
"12","2656"
"12","1654"
"12","1002"
"12","2825"
"13","440"
"13","1278"
"13","1774"
"13","110"
"13","2472"
"13","1904"
"13","3478"
"14","1461"
"14","2272"
"14","1753"
"14","2979"
"15","2186"
"15","710"
"15","1426"
"15","1885"
"16","1856"
"16","1801"
"17","626"
"17","3371"
"17","3450"
"17","1557"
"17","3133"
"17","1680"
"17","1088"
"17","2682"
"18","2267"
"18","105"
"18","1544"
"18","3412"
"18","2788"
"18","138"
"18","663"
"19","3221"
"19","145"
"19","190"
"19","1771"
"20","2714"
"20","1556"
"20","106"
"20","754"
"21","1459"
"21","2687"
"21","2029"
"21","3202"
"21","2173"
"21","237"
"22","1262"
"22","1679"
"22","1864"
"22","2244"
"22","2337"
"22","140"
"22","249"
"23","7"
"23","1974"
"23","1655"
"23","1167"
"23","1562"
"23","2285"
"23","2366"
"23","717"
"23","708"
"23","1567"
"23","2671"
"23","2107"
"23","110"
"23","2630"
"24","2378"
"24","2039"
"25","3378"
"25","1762"
"25","557"
"25","1672"
"25","1737"
"25","3481"
"25","2241"
"25","1710"
"25","343"
"25","1599"
"25","58"
"25","1933"
"25","674"
"25","2063"
"25","123"
"25","2146"
"25","761"
"25","3278"
"25","1403"
"25","2482"
"25","2782"
"25","2080"
"25","465"
"25","1087"
"26","1940"
"26","144"
"26","2290"
"26","1033"
"26","2197"
"26","609"
"26","450"
"26","2890"
"26","1031"
"26","3292"
"26","410"
"26","3517"
"26","1984"
"26","2788"
"26","2710"
"26","527"
"26","1188"
"27","1613"
"27","1607"
"27","1631"
"27","1964"
"27","3492"
"27","919"
"27","2708"
"27","1672"
"27","2037"
"28","2062"
"28","1950"
"28","475"
"28","2518"
"28","2640"
"28","709"
"28","1715"
"28","3174"
"28","2396"
"28","3012"
"28","1694"
"28","1192"
"28","1744"
"29","1873"
"29","196"
"29","3346"
"29","964"
"29","142"
"29","1273"
"29","2533"
"29","1867"
"29","2775"
"29","1799"
"29","129"
"29","3099"
"30","3437"
"30","2614"
"30","34"
"30","1830"
"30","191"
"31","2152"
"31","1488"
"31","2233"
"31","1473"
"31","497"
"31","1360"
"31","1979"
"32","1656"
"32","1523"
"32","2642"
"32","2456"
"32","620"
"32","1850"
"32","603"
"32","2965"
"32","630"
"32","195"
"32","2695"
"32","2879"
"32","2609"
"33","1985"
"33","1832"
"33","3304"
"33","3469"
"33","3322"
"34","30"
"34","1261"
"34","3452"
"34","1126"
"34","974"
"34","128"
"34","2151"
"34","1613"
"34","2865"
"34","862"
"34","1598"
"35","743"
"35","493"
"35","2426"
"35","1253"
"36","945"
"36","575"
"36","47"
"36","227"
"36","1161"
"36","1409"
"36","2155"
"36","641"
"36","1942"
"36","2932"
"36","1678"
"36","2462"
"36","1848"
"36","1624"
"36","3330"
"36","1109"
"36","859"
"36","1749"
"36","750"
"36","1786"
"36","657"
"36","3032"
"36","3370"
"36","2502"
"36","92"
"36","3011"
"36","1515"
"36","744"
"36","2118"
"36","491"
"36","3063"
"37","1843"
"37","2190"
"37","1392"
"37","2674"
"37","1203"
"37","3357"
"37","1989"
"38","2956"
"38","1697"
"38","2590"
"38","2228"
"38","3430"
"38","1680"
"38","491"
"38","3302"
"38","525"
"38","1618"
"38","2462"
"38","1720"
"38","626"
"38","1936"
"38","2615"
"38","732"
"38","2879"
"39","911"
"39","2235"
"39","3468"
"39","501"
"39","1005"
"39","3310"
"40","1210"
"40","1090"
"40","2211"
"40","1829"
"40","1544"
"41","93"
"41","2762"
"41","2161"
"41","3448"
"41","1877"
"41","3324"
"41","2905"
"41","3016"
"41","3434"
"41","2615"
"41","3510"
"41","619"
"41","2923"
"41","1891"
"41","663"
"41","3339"
"41","1725"
"41","2786"
"41","2188"
"41","3181"
"41","78"
"41","3044"
"41","658"
"41","2780"
"41","3198"
"41","3405"
"41","1839"
"41","720"
"41","1775"
"41","2879"
"41","605"
"42","2304"
"43","2836"
"43","1723"
"43","819"
"43","1853"
"43","2266"
"43","2942"
"44","3213"
"44","1653"
"44","1735"
"44","2900"
"44","2467"
"44","2221"
"44","699"
"44","697"
"44","2394"
"44","2808"
"44","1085"
"44","1835"
"44","1596"
"44","663"
"44","658"
"44","2972"
"44","2183"
"44","1436"
"44","1894"
"44","2033"
"44","378"
"44","2446"
"44","511"
"44","2063"
"44","2685"
"44","2266"
"44","2153"
"44","238"
"44","3223"
"44","1535"
"44","445"
"44","1626"
"44","2262"
"44","575"
"44","2219"
"44","513"
"44","169"
"44","574"
"44","580"
"44","2618"
"44","3191"
"44","1051"
"44","374"
"44","1684"
"44","2865"
"44","2459"
"44","3107"
"44","2912"
"44","819"
"44","2039"
"44","1772"
"44","2288"
"44","3146"
"44","1936"
"44","1297"
"45","2639"
"45","3428"
"45","2638"
"45","555"
"45","1987"
"45","240"
"45","2276"
"45","723"
"45","1485"
"45","2059"
"45","3341"
"45","1581"
"45","2457"
"46","405"
"46","735"
"46","2630"
"46","2924"
"47","36"
"47","945"
"47","227"
"47","1655"
"47","2082"
"47","989"
"47","1506"
"47","92"
"47","3011"
"47","1907"
"47","326"
"47","3203"
"47","1561"
"47","1468"
"48","3016"
"48","1221"
"48","2762"
"48","1816"
"49","920"
"49","1717"
"49","1793"
"49","1639"
"49","2959"
"49","522"
"49","477"
"49","2434"
"49","2306"
"49","2244"
"50","771"
"50","471"
"50","238"
"50","2405"
"50","498"
"50","3217"
"50","682"
"50","2473"
"51","2319"
"51","1879"
"51","2952"
