"Id","dept_rank","cip_category","total_deflated_dollar_2010","citations","y_05","cd"
"1",81,"Biology",NA,3178,"2000",0
"2",NA,"Biology",NA,1619,"2005",0
"3",NA,"Biology",NA,2684,"2005",1
"4",NA,"Biology",NA,3781,"1985",1
"5",NA,"Biology",262734,6936,"1985",1
"6",26,"Biology",NA,5490,"2000",1
"7",3,"Medical",NA,5336,"2005",1
"8",45,"Biology",17703,3825,"2005",1
"9",67,"Biology",NA,1206,"1990",1
"10",NA,"Medical",NA,1629,"2000",1
"11",52,"Medical",NA,1112,"2000",1
"12",NA,"Medical",NA,2779,"1985",1
"13",NA,"Biology",NA,3572,"1995",1
"14",NA,"Biology",NA,945,"2000",1
"15",131,"Biology",5451225,347,"2005",0
"16",285,"Biology",NA,1825,"2005",1
"17",NA,"Medical",NA,6408,"1975",1
"18",9,"Biology",NA,1871,"2005",1
"19",NA,"Biology",NA,968,"2005",1
"20",26,"Biology",NA,1029,"2000",1
"21",38,"Medical",NA,1320,"2005",1
"22",NA,"Biology",10174659,8740,"2005",1
"23",NA,"Medical",NA,5255,"2000",1
"24",NA,"Medical",NA,241,"2005",1
"25",43,"Medical",NA,1043,"2005",1
"26",NA,"Biology",NA,1630,"2005",1
"27",9,"Medical",NA,537,"2000",1
"28",60,"Medical",NA,3273,"2000",1
"29",121,"Biology",NA,973,"1995",1
"30",140,"Biology",NA,3588,"2000",1
"31",190,"Biology",NA,2855,"2005",1
"32",13,"Medical",10252529,7796,"1995",1
"33",NA,"Biology",NA,2160,"2000",1
"34",27,"Biology",NA,1880,"2000",1
"35",85,"Biology",NA,4793,"2000",1
"36",NA,"Medical",NA,1390,"2005",1
"37",3,"Medical",NA,2995,"2005",1
"38",7,"Biology",NA,1975,"2005",1
"39",24,"Medical",NA,1216,"2005",1
"40",142,"Biology",NA,3498,"1995",1
"41",12,"Medical",NA,7421,"1995",1
"42",30,"Medical",NA,634,"2005",1
"43",NA,"Biology",NA,4895,"1990",0
"44",6,"Biology",NA,9790,"1985",1
"45",9,"Biology",NA,886,"2005",1
"46",16,"Biology",2079757,1804,"2005",1
"47",1,"Medical",NA,833,"2010",1
"48",NA,"Medical",NA,496,"2010",1
"49",19,"Medical",456583,2967,"1995",1
"50",312,"Biology",NA,517,"2005",0
"51",NA,"Biology",NA,2475,"2000",1
"52",103,"Biology",NA,859,"2005",0
"53",NA,"Biology",1283285,3307,"2005",1
"54",NA,"Biology",NA,1980,"2005",1
"55",24,"Medical",8854945,5840,"1990",1
"56",8,"Medical",NA,1216,"2005",1
"57",NA,"Biology",792990,3928,"2005",1
"58",39,"Biology",2962129,1624,"2000",1
"59",NA,"Biology",21564721,28045,"1985",1
"60",NA,"Biology",NA,1460,"2000",1
"61",NA,"Biology",NA,1790,"2005",1
"62",2,"Medical",NA,1579,"2005",1
"63",NA,"Biology",NA,1285,"2005",1
"64",NA,"Medical",NA,1125,"2005",1
"65",52,"Medical",NA,9809,"1995",1
"66",NA,"Biology",30737247,8398,"1985",0
"67",NA,"Biology",884493,2050,"2000",0
"68",1,"Biology",NA,2565,"2000",1
"69",NA,"Biology",NA,374,"2005",1
"70",38,"Medical",NA,910,"1995",1
"71",173,"Biology",NA,3169,"2005",1
"72",NA,"Medical",NA,1738,"2000",1
"73",13,"Medical",NA,770,"2005",1
"74",50,"Medical",NA,6049,"1985",1
"75",7,"Biology",NA,3303,"2005",1
"76",NA,"Biology",NA,6945,"1985",1
"77",NA,"Medical",NA,13026,"2000",1
"78",78,"Medical",NA,6052,"1990",1
"79",39,"Biology",165629,1511,"2000",1
"80",NA,"Biology",NA,594,"2010",1
"81",69,"Technology",518284,750,"2000",1
"82",7,"Biology",NA,1563,"2005",1
"83",60,"Medical",161945,2416,"2000",1
"84",NA,"Medical",NA,1223,"2005",1
"85",NA,"Biology",NA,6839,"1990",1
"86",NA,"Medical",NA,1912,"2005",1
"87",NA,"Medical",NA,663,"2000",1
"88",NA,"Biology",NA,2583,"1995",1
"89",8,"Medical",NA,2368,"2005",1
"90",NA,"Biology",NA,754,"2005",1
"91",NA,"Biology",NA,1246,"1990",1
"92",NA,"Medical",3555292,4210,"2005",1
"93",16,"Medical",NA,3309,"2000",1
"94",56,"Medical",NA,583,"2000",1
"95",2,"Medical",2509396,2578,"1995",1
"96",15,"Biology",NA,3312,"2005",1
"97",NA,"Biology",NA,2121,"2005",0
"98",9,"Biology",NA,676,"2000",1
"99",16,"Medical",NA,691,"2005",1
"100",NA,"Biology",NA,2384,"2005",1
"101",73,"Biology",NA,9852,"1990",1
"102",16,"Biology",NA,1212,"2005",1
"103",57,"Biology",NA,1435,"2005",0
"104",17,"Biology",NA,4235,"2005",1
"105",9,"Biology",28454,958,"2000",1
"106",24,"Medical",NA,1584,"2000",1
"107",13,"Biology",1245295,900,"2005",1
"108",NA,"Medical",NA,1551,"2000",0
"109",2,"Medical",NA,2678,"2005",1
"110",NA,"Biology",NA,18403,"1990",1
"111",NA,"Biology",NA,740,"2005",1
"112",9,"Biology",NA,345,"2005",1
"113",83,"Medical",2232758,602,"2005",1
"114",111,"Biology",NA,8449,"2005",1
"115",57,"Biology",NA,2551,"2005",1
"116",60,"Medical",NA,2950,"1995",1
"117",NA,"Medical",NA,466,"2000",1
"118",NA,"Medical",NA,4399,"2000",1
"119",78,"Medical",NA,401,"2005",1
"120",NA,"Biology",NA,916,"2005",0
"121",38,"Medical",NA,1080,"2005",1
"122",21,"Medical",NA,10109,"2005",1
"123",NA,"Medical",NA,13936,"1990",1
"124",57,"Biology",NA,3521,"2005",1
"125",38,"Biology",NA,3751,"2005",0
"126",NA,"Biology",NA,1388,"2005",1
"127",38,"Medical",NA,1970,"2005",1
"128",67,"Medical",NA,2968,"1995",1
"129",47,"Biology",NA,609,"2005",1
"130",273,"Biology",NA,1180,"1995",1
"131",8,"Biology",NA,2042,"1995",1
"132",NA,"Biology",3815645,867,"2005",1
"133",1,"Medical",NA,986,"2005",1
"134",2,"Medical",212343,4383,"2000",1
"135",NA,"Biology",NA,745,"2005",0
"136",178,"Biology",NA,626,"2005",0
"137",57,"Biology",NA,4945,"2000",1
"138",9,"Biology",NA,859,"2000",1
"139",NA,"Medical",47677831,67499,"1990",1
"140",NA,"Biology",NA,17255,"2005",1
"141",24,"Medical",NA,1258,"2005",1
"142",98,"Biology",NA,3929,"2005",1
"143",NA,"Medical",596348,8789,"2000",1
"144",NA,"Biology",NA,863,"2005",1
"145",NA,"Biology",NA,362,"2005",0
"146",NA,"Biology",NA,2981,"2005",1
"147",41,"Biology",NA,2796,"2005",1
"148",12,"Biology",NA,4275,"1990",1
"149",NA,"Biology",NA,943,"2005",1
"150",8,"Medical",NA,515,"2005",1
"151",22,"Biology",NA,409,"2000",1
"152",9,"Biology",NA,1343,"1995",1
"153",169,"Biology",6547752,8344,"1985",1
"154",163,"Biology",5986508,4095,"1990",1
"155",16,"Medical",NA,1726,"2000",1
"156",NA,"Biology",NA,530,"2005",1
"157",175,"Biology",NA,1669,"2000",0
"158",17,"Technology",NA,1698,"2005",1
"159",13,"Biology",4357828,3803,"2005",1
"160",196,"Biology",NA,1309,"2005",0
"161",NA,"Medical",NA,771,"2000",1
"162",6,"Biology",NA,1273,"2000",1
"163",33,"Biology",NA,1789,"2005",1
"164",NA,"Biology",NA,1247,"2000",1
"165",16,"Medical",NA,1158,"2000",1
"166",NA,"Biology",NA,1429,"2000",1
"167",6,"Medical",NA,2081,"2005",1
"168",13,"Medical",NA,1023,"2000",1
"169",NA,"Biology",NA,1889,"2000",1
"170",38,"Medical",NA,1380,"2000",1
"171",NA,"Biology",NA,3357,"2000",1
"172",NA,"Biology",NA,1728,"2000",0
"173",24,"Biology",NA,7386,"2005",1
"174",NA,"Biology",NA,3565,"2005",1
"175",13,"Medical",1995178,2111,"2005",1
"176",39,"Biology",615256,1696,"2005",1
"177",NA,"Medical",NA,1922,"1995",1
"178",93,"Biology",NA,8895,"2005",1
"179",1,"Technology",1127554,2701,"1995",1
"180",39,"Biology",NA,480,"2005",0
"181",NA,"Biology",1023983,2886,"1970",0
"182",62,"Biology",6021942,3575,"2000",1
"183",57,"Biology",NA,3189,"2005",1
"184",NA,"Biology",NA,1172,"2005",0
"185",NA,"Medical",NA,240,"2005",1
"186",111,"Biology",NA,526,"2005",1
"187",26,"Biology",1319337,1515,"2005",1
"188",3,"Medical",460046,1148,"2005",1
"189",43,"Technology",NA,342,"2005",1
"190",122,"Biology",NA,168,"2010",0
"191",NA,"Medical",NA,5316,"2000",1
"192",26,"Biology",NA,1063,"2005",1
"193",2,"Medical",345321,1518,"2005",1
"194",26,"Biology",NA,1120,"2005",1
"195",23,"Biology",NA,1421,"2005",1
"196",121,"Biology",NA,802,"2005",1
"197",NA,"Medical",NA,1596,"2000",1
"198",NA,"Medical",2264002,967,"2005",1
"199",NA,"Medical",NA,1375,"2005",0
"200",NA,"Medical",NA,352,"2005",1
"201",48,"Medical",NA,965,"2005",1
"202",78,"Medical",NA,4068,"1990",0
"203",NA,"Medical",2225360,5840,"1995",1
"204",NA,"Biology",NA,2993,"1985",1
"205",NA,"Medical",NA,6148,"1980",1
"206",26,"Biology",2268992,1501,"2000",1
"207",33,"Biology",6438830,420,"2005",1
"208",NA,"Biology",NA,1013,"2000",1
"209",12,"Medical",NA,438,"2005",1
"210",73,"Biology",NA,3849,"2005",1
"211",108,"Medical",NA,779,"2005",1
"212",13,"Medical",2355780,3415,"1990",1
"213",1,"Biology",NA,8542,"1980",1
"214",22,"Biology",NA,1502,"2005",1
"215",6,"Biology",1203721,519,"2005",0
"216",16,"Biology",NA,846,"2005",1
"217",NA,"Medical",NA,624,"1995",1
"218",NA,"Medical",NA,1289,"2000",1
"219",10,"Technology",NA,1061,"2005",1
"220",65,"Medical",NA,605,"2005",1
"221",NA,"Biology",748605,3747,"2005",1
"222",3,"Technology",NA,1101,"2005",1
"223",13,"Biology",98164,3293,"2000",1
"224",69,"Technology",NA,524,"2005",1
"225",27,"Technology",25979317,10545,"1985",1
"226",NA,"Medical",NA,2816,"2000",1
"227",NA,"Medical",NA,4495,"2000",1
"228",NA,"Biology",25624,364,"2005",1
"229",57,"Biology",NA,869,"2005",1
"230",NA,"Biology",NA,888,"2005",1
"231",NA,"Biology",NA,2010,"2005",1
"232",22,"Biology",NA,834,"2000",1
"233",52,"Medical",NA,5416,"2000",1
"234",218,"Biology",NA,1319,"2000",1
"235",43,"Medical",NA,176,"1995",1
"236",36,"Medical",NA,801,"2005",1
"237",NA,"Technology",246401,3633,"2000",1
"238",312,"Biology",60130784,16555,"1980",1
"239",NA,"Medical",NA,3225,"2000",1
"240",46,"Medical",170386,2528,"2005",1
"241",13,"Biology",936942,926,"2000",1
"242",65,"Medical",NA,1493,"1995",1
"243",NA,"Biology",NA,8486,"1970",1
"244",36,"Medical",NA,5537,"1970",1
"245",13,"Medical",NA,1257,"2000",1
"246",NA,"Medical",NA,29441,"1985",1
